WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,SP,ROP,DTS,DCAL,DRHO,LITHOFACIES
15/09/2017,2885.125998,438597.4375,6478968.5,-2862.919922,VESTLAND GP.,Smith Bank Fm.,8.933802605,1.536587715,1.63518703,1.614548206,2.469870091,90.44865418,0.28874597,4.245766163,90.98748779,51.53982544,2.909234047,,,0.046071727,65000
15/09/2015,1721.624,436812.125,6462996,-1696.544556,HORDALAND GP.,Utsira Fm.,13.54742336,0.840040028,0.840040028,0.783233821,1.997029185,76.30529022,0.534253538,2.320989847,145.3848419,67.40036774,46.19174957,,1.297422051,0.108821049,65000
15/09/2017,2077.701998,438597.2188,6478959.5,-2055.585205,HORDALAND GP.,Utsira Fm.,11.99199963,0.751737118,0.517852366,0.455047429,2.013700008,40.93414688,0.453704745,2.772394896,148.8269196,41.93249893,21.26100159,,,-0.010210516,65000
16/02/2016,1791.894396,476768.25,6523588.5,-1765.529419,SHETLAND GP.,Svarte Fm.,12.30246353,,1.757480741,1.732489109,2.466480493,41.71885681,0.155800834,4.615218639,91.37155151,,26.76498413,201.2639923,,0.007736831,70000
16/02/2016,1645.974396,476768.2188,6523588.5,-1619.609497,ROGALAND GP.,Lista Fm.,12.51093864,,0.528876007,0.524461448,2.179572821,81.37843323,0.422895014,5.062891007,143.2794342,,29.53605843,,,0.027866405,65000
16/10/2003,1786.149599,460427.25,6453748.5,-1746.061768,HORDALAND GP.,Utsira Fm.,12.79299831,0.499487549,0.499040395,0.589277268,2.167371988,100.7703476,,3.710308075,131.583374,88.35465241,35,,0.542994201,0.040817604,65000
15/09/2013,2476,437616.5625,6470981.5,-2450.605713,SHETLAND GP.,Tor Fm.,12.47918797,9.760408402,7.381092548,7.960769653,2.604456186,11.51952076,0.063622117,4.907952309,61.70606613,80.45780182,2.576581001,,,-0.012573558,70000
16/02/2016,1945.414396,476768.2188,6523588.5,-1919.049316,CROMER KNOLL GP.,Aasgard Fm.,8.632473946,,2.108948946,2.048107863,2.218533516,104.7716141,0.267643809,6.551730156,92.84392548,,5.065898895,212.7069702,,0.008586598,80000
16/10/2003,2547.517599,460447.5625,6453744,-2507.095459,VESTLAND GP.,Skagerrak Fm.,8.320687294,0.517195404,0.54156071,0.710694492,2.388074875,83.22405243,0.257476836,5.545500755,88.26477051,,61.08000183,166.451889,-0.179312423,0.05003776,65000
16/11-1 ST3,2575.161201,,,,ZECHSTEIN GP.,Smith Bank Fm.,12.41709709,,,,,6.097736359,,,68.56248474,,2.598244667,,,,88000
