CreditGrade,Term,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,LoanOriginalAmount,MonthlyLoanPayment,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
Unknown,36,1,0.30532,0.2699,0.2599,0.2534,0.108,0.1454,3.0,D,6.0,1,NY,Food Service,Employed,59.0,False,False,Unknown,700.0,719.0,2005-02-20 00:00:00,5.0,4.0,33.0,3,196.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2702.0,0.5,2780.0,12.0,0.83,0.0,0.57,"$1-24,999",True,1208.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,163.28,1.0,0,0,0.0,66
D,36,0,0.22236999999999998,0.2,0.19,0.18085,,,4.0,Unknown,6.0,1,IL,Teacher,Full-time,224.0,True,False,Unknown,620.0,639.0,1974-03-01 00:00:00,12.0,12.0,40.0,10,743.0,8.0,19.0,0.0,0.0,1.0,2.0,0.0,25520.0,0.99,154.0,34.0,0.67,1.0,0.13,"$75,000-99,999",True,7445.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300,48.31,1.0,0,0,0.0,54
D,36,1,0.18224,0.175,0.16,0.15585,,,4.0,Unknown,6.0,0,Unknown,Civil Service,Full-time,0.0,True,True,CD0E3364909037313F32874,600.0,619.0,1988-10-07 00:00:00,5.0,3.0,23.0,2,0.0,0.0,0.0,2.0,460.0,17.0,0.0,0.0,0.0,0.0,3000.0,16.0,0.27,0.0,0.3,"$50,000-74,999",True,4166.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900,175.92,1.0,0,0,0.0,134
AA,36,1,0.08354,0.075,0.075,0.05585,,,4.0,Unknown,6.0,4,CA,Teacher,Full-time,114.0,True,False,Unknown,820.0,839.0,1993-02-23 00:00:00,9.0,7.0,23.0,8,126.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,14833.0,0.0,62476.0,22.0,1.0,1.0,0.02,"$50,000-74,999",True,4583.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,62.21,1.0,0,0,0.0,50
Unknown,36,1,0.22741999999999998,0.1902,0.1802,0.176,0.065,0.111,4.0,C,4.0,1,GA,Principal,Employed,118.0,True,False,Unknown,660.0,679.0,1990-04-30 00:00:00,22.0,20.0,49.0,14,689.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23081.0,0.98,337.0,42.0,0.95,0.0,0.52,"$75,000-99,999",True,7000.0,2.0,46.0,46.0,0.0,0.0,11600.0,5783.78,12500,458.33,1.0,0,0,0.0,16
Unknown,60,1,0.35838000000000003,0.3304,0.3204,0.3057,0.149,0.1567,2.0,E,1.0,7,AZ,Professional,Employed,277.0,True,False,Unknown,660.0,679.0,1997-10-06 00:00:00,12.0,11.0,32.0,5,210.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,6574.0,0.95,215.0,22.0,1.0,3.0,0.31,"$50,000-74,999",True,4723.333333,4.0,63.0,62.0,1.0,0.0,9500.0,3562.57,4000,136.98,1.0,0,0,0.0,30
A,36,1,0.11887,0.1119,0.1019,0.09275,,,4.0,Unknown,6.0,0,IL,Analyst,Full-time,19.0,False,False,Unknown,740.0,759.0,2000-09-29 00:00:00,17.0,15.0,27.0,10,198.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6748.0,0.33,13252.0,22.0,1.0,0.0,0.31,"$25,000-49,999",True,4041.666667,1.0,14.0,14.0,0.0,0.0,5000.0,3095.43,9000,295.46,1.0,0,0,0.0,205
Unknown,36,0,0.30532,0.2699,0.2599,0.2534,0.108,0.1454,3.0,D,6.0,1,TN,Food Service,Employed,33.0,False,False,Unknown,720.0,739.0,2003-04-30 00:00:00,2.0,2.0,2.0,2,35.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1502.0,0.13,9500.0,2.0,1.0,0.0,0.17,"$1-24,999",True,1416.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,204.1,1.0,0,0,0.0,83
Unknown,12,1,0.25295,0.1546,0.1446,0.1414,0.0765,0.0649,4.0,C,2.0,1,CO,Professional,Employed,56.0,True,True,8E5A3365665729204E57173,740.0,759.0,1999-09-26 00:00:00,23.0,22.0,33.0,17,308.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,4143.0,0.18,14171.0,30.0,0.93,4.0,0.24,"$75,000-99,999",True,7500.0,1.0,18.0,18.0,0.0,0.0,1000.0,459.03,5000,452.38,1.0,0,0,0.0,103
AA,36,1,0.08634,0.0795,0.0795,0.06035,,,4.0,Unknown,6.0,3,MI,Construction,Full-time,141.0,True,False,Unknown,760.0,779.0,1996-11-01 00:00:00,19.0,17.0,49.0,15,213.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,10651.0,0.11,83749.0,45.0,1.0,2.0,0.05,"$100,000+",True,8333.333333,1.0,8.0,8.0,0.0,0.0,2000.0,1596.66,6000,187.88,1.0,0,0,0.0,172
B,36,0,0.23949,0.232,0.222,0.21285,,,4.0,Unknown,6.0,0,OH,Professional,Full-time,94.0,False,False,Unknown,700.0,719.0,1997-03-26 00:00:00,8.0,7.0,30.0,5,123.0,5.0,11.0,1.0,5437.0,10.0,1.0,0.0,1792.0,0.24,3618.0,26.0,0.61,2.0,0.22,"$100,000+",True,8750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500,291.11,1.0,1,0,0.0,62
Unknown,12,0,0.25785,0.1795,0.1695,0.1559,0.0975,0.0584,3.0,D,5.0,6,MI,Skilled Labor,Employed,74.0,False,False,Unknown,640.0,659.0,2004-12-31 00:00:00,4.0,4.0,15.0,1,108.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4913.0,0.98,87.0,15.0,1.0,0.0,0.51,"$50,000-74,999",True,4166.666667,2.0,23.0,22.0,1.0,0.0,8000.0,0.0,9500,870.73,1.0,0,0,0.0,162
Unknown,36,0,0.39153000000000004,0.35,0.34,0.1369,0.183,0.1369,1.0,HR,5.0,7,VA,Professional,Full-time,355.0,True,False,Unknown,640.0,659.0,1988-02-01 00:00:00,9.0,12.0,51.0,8,559.0,1.0,1.0,6.0,8545.0,0.0,0.0,0.0,17228.0,0.79,3439.0,46.0,0.7,0.0,0.15,"$100,000+",True,12083.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,67.85,1.0,0,0,0.0,42
Unknown,36,0,0.35244000000000003,0.316,0.306,0.292,0.149,0.143,2.0,E,1.0,1,KY,Sales - Retail,Employed,4.0,False,False,Unknown,660.0,679.0,1997-09-26 00:00:00,9.0,7.0,54.0,7,148.0,7.0,14.0,0.0,0.0,8.0,1.0,0.0,2190.0,0.25,4000.0,44.0,0.77,6.0,0.17,"$50,000-74,999",True,4166.666667,1.0,12.0,12.0,0.0,0.0,2500.0,1879.95,6000,260.0,1.0,0,0,0.0,78
Unknown,12,1,0.13706,0.0609,0.0509,0.0509,0.02,0.0309,6.0,A,8.0,1,NY,Other,Employed,151.0,True,False,Unknown,840.0,859.0,1996-01-15 00:00:00,12.0,9.0,22.0,7,97.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6474.0,0.09,64926.0,22.0,1.0,3.0,0.11,"$50,000-74,999",True,6000.0,1.0,2.0,2.0,0.0,0.0,7900.0,0.0,3475,299.22,1.0,1,1,2975.0,16
HR,36,0,0.30564,0.29,0.28,0.27085,,,4.0,Unknown,6.0,0,CA,Professional,Full-time,108.0,True,True,B0473364376920128370B13,520.0,539.0,1996-05-30 00:00:00,14.0,13.0,19.0,8,432.0,8.0,28.0,0.0,0.0,0.0,1.0,0.0,12760.0,0.8,1180.0,18.0,0.94,1.0,0.43,"$25,000-49,999",True,4033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,209.53,1.0,0,0,0.0,13
Unknown,36,1,0.19645,0.1599,0.1499,0.1417,0.0549,0.0868,5.0,B,4.0,1,TN,Other,Employed,128.0,False,False,Unknown,700.0,719.0,1989-03-27 00:00:00,13.0,12.0,45.0,12,470.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8827.0,0.58,6217.0,36.0,1.0,0.0,0.33,"$25,000-49,999",True,2864.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,351.52,1.0,0,0,0.0,153
C,36,0,0.12562,0.1045,0.0945,0.08535,,,4.0,Unknown,6.0,3,MI,Sales - Retail,Part-time,10.0,False,False,Unknown,640.0,659.0,1995-12-03 00:00:00,6.0,6.0,20.0,3,29.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5180.0,0.48,5420.0,17.0,0.72,0.0,0.17,"$25,000-49,999",True,3500.0,1.0,9.0,9.0,0.0,0.0,4000.0,3130.53,6000,194.87,1.0,0,0,0.0,152
Unknown,36,1,0.18183,0.16,0.15,0.1284,0.021,0.1284,6.0,A,10.0,1,NC,Professional,Full-time,108.0,True,False,Unknown,700.0,719.0,1984-04-09 00:00:00,14.0,13.0,37.0,12,2175.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,68658.0,0.73,24152.0,33.0,1.0,0.0,0.4,"$75,000-99,999",True,7016.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,175.79,1.0,0,0,0.0,57
B,36,1,0.17243,0.158,0.148,0.13885,,,4.0,Unknown,6.0,4,MN,Other,Part-time,8.0,False,False,Unknown,700.0,719.0,2002-03-13 00:00:00,4.0,3.0,14.0,2,68.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1970.0,0.92,166.0,8.0,0.87,0.0,76.78,$0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,76.78,1.0,1,0,0.0,69
B,36,0,0.24255,0.2275,0.2175,0.20835,,,4.0,Unknown,6.0,4,MO,Other,Retired,237.0,False,False,Unknown,680.0,699.0,1989-02-13 00:00:00,0.0,0.0,6.0,0,0.0,0.0,1.0,2.0,9173.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.0,0.08,"$1-24,999",True,701.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,57.87,1.0,0,0,0.0,22
B,36,0,0.15225999999999998,0.138,0.128,0.11885000000000001,,,4.0,Unknown,6.0,1,NJ,Professional,Full-time,6.0,False,False,Unknown,700.0,719.0,1992-02-01 00:00:00,8.0,7.0,11.0,5,495.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,16304.0,0.34,30296.0,10.0,0.9,0.0,0.4,"$25,000-49,999",True,2553.333333,1.0,8.0,8.0,0.0,0.0,9000.0,6952.58,5500,187.44,1.0,0,0,0.0,185
Unknown,36,1,0.10645,0.103,0.093,0.0779,0.015,0.0779,7.0,AA,9.0,1,OH,Doctor,Full-time,136.0,True,False,Unknown,840.0,859.0,1990-02-14 00:00:00,11.0,10.0,30.0,6,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,36163.0,27.0,1.0,0.0,0.13,"$100,000+",True,16666.666666999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,486.12,1.0,0,0,0.0,518
D,36,0,0.23014,0.2177,0.1977,0.19855,,,4.0,Unknown,6.0,0,Unknown,Sales - Retail,Full-time,4.0,False,True,783C3371218786870A73D20,600.0,619.0,1994-08-19 00:00:00,1.0,1.0,5.0,1,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,240.0,0.8,60.0,5.0,0.8,1.0,0.04,"$1-24,999",True,1333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,57.11,1.0,0,0,0.0,20
Unknown,36,1,0.34886999999999996,0.3125,0.3025,0.2848,0.17,0.1148,1.0,HR,3.0,2,MI,Nurse's Aide,Full-time,45.0,False,False,Unknown,620.0,639.0,1997-07-29 00:00:00,8.0,8.0,16.0,2,30.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,1231.0,0.91,119.0,16.0,1.0,0.0,0.66,"$25,000-49,999",True,2250.0,2.0,34.0,34.0,0.0,0.0,5000.0,1201.25,4000,172.56,1.0,0,0,0.0,30
AA,36,0,0.17879,0.1643,0.1543,0.14515,,,4.0,Unknown,6.0,3,MO,Construction,Self-employed,42.0,True,False,Unknown,780.0,799.0,1986-04-01 00:00:00,16.0,15.0,31.0,16,884.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,120611.0,0.74,41739.0,30.0,0.96,0.0,0.08485890550841324,"$25,000-49,999",False,2916.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000,247.59,1.0,0,0,0.0,174
Unknown,36,0,0.35643,0.3199,0.3099,0.2917,0.183,0.1087,1.0,HR,4.0,7,PA,Waiter/Waitress,Employed,42.0,False,False,Unknown,700.0,719.0,1990-06-06 00:00:00,8.0,6.0,26.0,4,269.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11639.0,0.9,1211.0,25.0,0.92,1.0,0.7,"$1-24,999",True,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,108.87,1.0,0,0,0.0,68
Unknown,36,0,0.25371,0.2159,0.2059,0.1903,0.0899,0.1004,4.0,C,3.0,1,NY,Nurse (RN),Employed,157.0,True,False,Unknown,660.0,679.0,1991-02-01 00:00:00,17.0,16.0,35.0,15,2012.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,341836.0,0.88,6256.0,31.0,1.0,3.0,0.18,"$100,000+",True,14000.0,1.0,11.0,11.0,0.0,0.0,15000.0,11158.34,15000,569.68,1.0,0,0,0.0,1
