InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
579134,22383,LUNCH BAG SUKI DESIGN ,20,11/28/2011 12:38,1.65,13115,United Kingdom
574835,23530,WALL ART ONLY ONE PERSON ,6,11/7/2011 11:31,4.95,13139,United Kingdom
536876,15036,ASSORTED COLOURS SILK FAN,3,12/3/2010 11:36,1.28,,United Kingdom
543458,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2/8/2011 13:28,1.25,14587,United Kingdom
575215,48187,DOORMAT NEW ENGLAND,1,11/9/2011 11:04,8.25,18109,United Kingdom
539958,85059,FRENCH ENAMEL WATER BASIN,9,12/23/2010 13:26,3.36,,United Kingdom
560050,23202,JUMBO BAG VINTAGE LEAF,1,7/14/2011 15:07,2.08,,United Kingdom
568408,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,9/27/2011 10:40,8.29,,United Kingdom
571548,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",24,10/18/2011 7:56,4.25,15505,United Kingdom
580146,20724,RED RETROSPOT CHARLOTTE BAG,96,12/2/2011 10:07,2.46,,United Kingdom
560996,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,3,7/22/2011 13:53,4.25,17625,United Kingdom
564757,23052,RECYCLED ACAPULCO MAT TURQUOISE,1,8/30/2011 10:36,16.63,,United Kingdom
565617,21929,JUMBO BAG PINK VINTAGE PAISLEY,1,9/5/2011 15:30,4.13,,United Kingdom
536592,85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,2,12/1/2010 17:06,3.36,,United Kingdom
536618,22197,SMALL POPCORN HOLDER,48,12/2/2010 10:17,0.85,17017,United Kingdom
544480,22779,WOODEN OWLS LIGHT GARLAND ,48,2/21/2011 10:32,3.75,14646,Netherlands
553067,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,6,5/13/2011 11:44,4.25,16871,United Kingdom
541999,22686,FRENCH BLUE METAL DOOR SIGN No,1,1/25/2011 10:45,2.46,,United Kingdom
569577,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,18,10/5/2011 10:53,2.55,12828,United Kingdom
572466,20717,STRAWBERRY SHOPPER BAG,10,10/24/2011 13:28,1.25,14997,United Kingdom
544824,21621,VINTAGE UNION JACK BUNTING,2,2/24/2011 9:32,8.5,17139,United Kingdom
541428,85099B,JUMBO BAG RED RETROSPOT,10,1/18/2011 8:53,1.95,14242,United Kingdom
547387,23010,CIRCUS PARADE BABY GIFT SET,6,3/22/2011 16:00,14.95,12539,Spain
537375,22551,PLASTERS IN TIN SPACEBOY,6,12/6/2010 12:55,1.65,17019,United Kingdom
575674,22179,SET 10 NIGHT OWL LIGHTS,2,11/10/2011 15:06,6.75,13468,United Kingdom
540801,21877,HOME SWEET HOME MUG,12,1/11/2011 12:25,1.25,12540,Spain
574714,22897,OVEN MITT APPLES DESIGN,1,11/6/2011 14:29,1.45,15427,United Kingdom
578008,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,11/22/2011 12:47,1.95,14657,United Kingdom
570232,23283,DOORMAT VINTAGE LEAF,3,10/9/2011 13:58,8.25,14040,United Kingdom
