Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2013-02-07 14:05:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,BAYVIEW,NONE,500 Block of BURROWS ST,-122.408575599261,37.727720522294604
2011-07-31 02:15:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,Sunday,BAYVIEW,"ARREST, BOOKED",PENNSYLVANIA AV / 23RD ST,-122.39288530429899,37.7550972746068
2006-11-02 01:43:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,BAYVIEW,"ARREST, CITED",3RD ST / OAKDALE AV,-122.39069763068301,37.7347969947349
2013-11-01 17:57:00,MISSING PERSON,FOUND PERSON,Friday,INGLESIDE,LOCATED,100 Block of PERSIA AV,-122.43476428669202,37.7226161363136
2004-09-28 17:46:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Tuesday,NORTHERN,"ARREST, CITED",1000 Block of POLK ST,-122.419812186232,37.7866019512795
2008-05-26 14:25:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Monday,TENDERLOIN,"ARREST, BOOKED",100 Block of OFARRELL ST,-122.407244087032,37.7865647607685
2003-01-26 10:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,INGLESIDE,NONE,4900 Block of MISSION ST,-122.43910409951,37.7188312165165
2009-03-05 21:46:00,WARRANTS,ENROUTE TO PROBATION OFFICER,Thursday,MISSION,"ARREST, BOOKED",600 Block of VALENCIA ST,-122.421609674066,37.7627519883966
2006-07-10 16:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,CENTRAL,NONE,1500 Block of CLAY ST,-122.418156901165,37.7926970176404
2004-04-13 20:49:00,WARRANTS,WARRANT ARREST,Tuesday,SOUTHERN,"ARREST, BOOKED",0 Block of 5TH ST,-122.406760498327,37.782877264733294
2011-03-25 21:57:00,WARRANTS,WARRANT ARREST,Friday,RICHMOND,"ARREST, BOOKED",600 Block of 14TH AV,-122.47243268678601,37.7758969248123
2012-03-09 14:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE,MARKET ST / BEALE ST,-122.39738779612699,37.7924047319625
