,sentiment,text
0,0,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
50,0,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
100,0, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
150,0,@onemoreproject that is lame 
200,0,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
250,0,New video card is DOA. 
300,0,@jokerrrr It stillllll hasn't arrived 
350,0,@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. 
400,0,"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  "
450,0,can't believe it! I'm in disbelief of it all in a way really. How much can I take from people and always get hurt by others!! 
500,0,@Anistorm Sorry 
550,0,I am soaked. This is not pleasant 
600,0,@Born_4_Broadway Lost  and it was St. Ignacius Prepatory School. Haha.
650,0,watching Fallon with mom and working on a project...school is hard 
700,0,trying to figure out this twitter thing...none of my friends are on  yet. Soo much to see.
750,0,"@misstoriblack cool , i have no tweet apps  for my razr 2"
800,0,my little pinky finger hurts so much.. 
850,0,"Opening a partially frozen beer= Beer on the toaster, under the oven and all over the counter. The kitchen smells like we run a speakeasy "
900,0,"so far i have 311 veiws on all my sites put together,  most of them were me checking out the updates i made......"
950,0,"@M4RKM  You stuck in traffic then? My journey was traffic free this morning, if it's any help."
1000,0,"@JonathanRKnight @silver_tulip27 Um, that would be a hell no to the fugly poker dog pants on the cruise!  Hi Jonathan, sorry I missed you "
1050,0,"@Sirrah21 Aww poor froofroo, this is way too late for you "
1100,0,"Morning all, starving and dying for a cuppa but can't cos off to docs for fasting blood test in a little while "
1150,0,@LittleYellowJen what do don't think ily?? nawwww 
1200,0,The one day I have to go to school is the same day something exciting happens at parliament square 
1250,0,@Weebeedee run was great thanks. Is very windy today so bike ride not an option this morning 
1300,0,someone keep me up....im at work 
1350,0,I'm in pain 
1400,0,@ScarlettDane no  mary &amp; i were going to go dress shopping tomorrow.
1450,0,Just did 5km on the tready and want to die... I'm not built for running... 
1500,0,I am soooo tired @ work 
1550,0,My Macbook just froze. Luckily I was able to take a screen shot of my paper and retyped the end of it. I submitted my paper 1 min. late. 
1600,0,@laurenlenewx awww i'm sorry 
1650,0,I'm laying in bed facing the wall and trying to relax but I'm hearing so many things plus the air conditioning sound is so louad 
1700,0,I need SIMS 3. Gaah! 
1750,0,thinks factorial designs are going to be the death of my test &quot;A&quot;.  Who comes up with this confusing &quot;mathy&quot; stuff?  Ugh 
1800,0,@imperiusrex Brahbrah. Ugh. Bed in a hour. 
1850,0,didnt hear from my hunn today 
1900,0,Haha my house is creepy at night!!  It creaks and stuff..scary. lol..I'm gonna go to bed.
1950,0,its sprained!!  so glad im on holidays
2000,0,"Morning twitterati...... Large coffee and a bath on top of todays list, first appt 10am then loads of desk work. "
2050,0,Thinking of pay day.....another 3 weeks to go  lol
2100,0,Blip.fm is undergoing maintenance.  http://blip.fm/
2150,0,in Genting now! But I now at gohtong jaya using com... 
2200,0,"@vindiekins Aww, you're leaving me?  Just was hoping for input -- I have avatars in the RP thread on MTP. Torn on personality..."
