STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE
TORONTO CITY CENTRE,1/1/2020 0:00,0.5,-0.8,1.7
TORONTO CITY CENTRE,1/2/2020 0:00,3.3,1.6,4.9
TORONTO CITY CENTRE,1/3/2020 0:00,5.1,3,7.2
TORONTO CITY CENTRE,1/4/2020 0:00,2.1,0.3,3.9
TORONTO CITY CENTRE,1/5/2020 0:00,0.4,-0.9,1.7
TORONTO CITY CENTRE,1/6/2020 0:00,1.2,-0.7,3
TORONTO CITY CENTRE,1/7/2020 0:00,0.2,-3.5,3.8
TORONTO CITY CENTRE,1/8/2020 0:00,-3.4,-7.5,0.8
TORONTO CITY CENTRE,1/9/2020 0:00,-3.4,-9.5,2.7
TORONTO CITY CENTRE,1/10/2020 0:00,4.2,2.3,6
TORONTO CITY CENTRE,1/11/2020 0:00,7,2,12
TORONTO CITY CENTRE,1/12/2020 0:00,-1.5,-5.1,2.1
TORONTO CITY CENTRE,1/13/2020 0:00,-0.7,-3.8,2.5
TORONTO CITY CENTRE,1/14/2020 0:00,-1.5,-5.1,2.1
TORONTO CITY CENTRE,1/15/2020 0:00,-0.7,-3.8,2.5
TORONTO CITY CENTRE,1/16/2020 0:00,-3.5,-10,3
TORONTO CITY CENTRE,1/17/2020 0:00,-9.9,-13.1,-6.6
TORONTO CITY CENTRE,1/18/2020 0:00,-1.7,-6.6,3.2
TORONTO CITY CENTRE,1/19/2020 0:00,-4.2,-9.9,1.5
TORONTO CITY CENTRE,1/20/2020 0:00,-8.5,-12.9,-4.1
TORONTO CITY CENTRE,1/21/2020 0:00,-4.2,-6.4,-1.9
TORONTO CITY CENTRE,1/22/2020 0:00,-2,-4.7,0.7
TORONTO CITY CENTRE,1/23/2020 0:00,-0.4,-2.8,2.1
TORONTO CITY CENTRE,1/24/2020 0:00,2,1.1,2.9
TORONTO CITY CENTRE,1/25/2020 0:00,2.7,2,3.3
TORONTO CITY CENTRE,1/26/2020 0:00,2.5,1.4,3.5
TORONTO CITY CENTRE,1/27/2020 0:00,1.8,0.9,2.6
TORONTO CITY CENTRE,1/28/2020 0:00,0.8,-0.8,2.3
TORONTO CITY CENTRE,1/29/2020 0:00,-3.6,-6.4,-0.8
TORONTO CITY CENTRE,1/30/2020 0:00,-2.7,-4.3,-1.1
TORONTO CITY CENTRE,1/31/2020 0:00,-1.1,-2.7,0.5
TORONTO CITY CENTRE,2/1/2020 0:00,-0.5,-2,1.1
TORONTO CITY CENTRE,2/2/2020 0:00,1.3,0.2,2.3
TORONTO CITY CENTRE,2/3/2020 0:00,3.1,0.6,5.5
TORONTO CITY CENTRE,2/4/2020 0:00,-0.1,-3.5,3.3
TORONTO CITY CENTRE,2/5/2020 0:00,-4.4,-6.7,-2.1
TORONTO CITY CENTRE,2/6/2020 0:00,-3.5,-4.3,-2.6
TORONTO CITY CENTRE,2/7/2020 0:00,-5.3,-7.3,-3.2
TORONTO CITY CENTRE,2/8/2020 0:00,-9.1,-12.7,-5.4
TORONTO CITY CENTRE,2/9/2020 0:00,-2.1,-6.3,2.2
TORONTO CITY CENTRE,2/10/2020 0:00,2.6,0.8,4.3
TORONTO CITY CENTRE,2/11/2020 0:00,1.1,-0.7,2.8
TORONTO CITY CENTRE,2/12/2020 0:00,-0.3,-2.2,1.6
TORONTO CITY CENTRE,2/13/2020 0:00,-7.1,-14.9,0.7
TORONTO CITY CENTRE,2/14/2020 0:00,-12.9,-18.5,-7.2
TORONTO CITY CENTRE,2/15/2020 0:00,-3.2,-7.7,1.3
TORONTO CITY CENTRE,2/16/2020 0:00,1.2,-1.3,3.6
TORONTO CITY CENTRE,2/17/2020 0:00,-1.7,-3.7,0.3
TORONTO CITY CENTRE,2/18/2020 0:00,2.4,-0.6,5.4
TORONTO CITY CENTRE,2/19/2020 0:00,-2.5,-5.3,0.3
TORONTO CITY CENTRE,2/20/2020 0:00,-6.5,-8.4,-4.5
TORONTO CITY CENTRE,2/21/2020 0:00,-3.7,-8,0.7
TORONTO CITY CENTRE,2/22/2020 0:00,0.9,-2.6,4.3
TORONTO CITY CENTRE,2/23/2020 0:00,3.8,1.7,5.8
TORONTO CITY CENTRE,2/24/2020 0:00,4.6,1.5,7.6
TORONTO CITY CENTRE,2/25/2020 0:00,3.8,1.7,5.9
TORONTO CITY CENTRE,2/26/2020 0:00,0.5,-3,4
TORONTO CITY CENTRE,2/27/2020 0:00,-3.7,-5,-2.4
TORONTO CITY CENTRE,2/28/2020 0:00,-5.9,-8.9,-2.9
TORONTO CITY CENTRE,2/29/2020 0:00,-7.7,-12.4,-3
TORONTO CITY CENTRE,3/1/2020 0:00,-2.2,-7.2,2.9
TORONTO CITY CENTRE,3/2/2020 0:00,3.5,0.9,6
TORONTO CITY CENTRE,3/3/2020 0:00,3,1.1,4.9
TORONTO CITY CENTRE,3/4/2020 0:00,4.1,2,6.1
TORONTO CITY CENTRE,3/5/2020 0:00,1.8,-0.6,4.2
TORONTO CITY CENTRE,3/6/2020 0:00,1.6,-0.5,3.7
TORONTO CITY CENTRE,3/7/2020 0:00,-1,-5,3
TORONTO CITY CENTRE,3/8/2020 0:00,4.4,1.3,7.5
TORONTO CITY CENTRE,3/9/2020 0:00,7.7,4.5,10.9
TORONTO CITY CENTRE,3/10/2020 0:00,5.6,-0.2,11.4
TORONTO CITY CENTRE,3/11/2020 0:00,0.5,-2.4,3.4
TORONTO CITY CENTRE,3/12/2020 0:00,3.4,0.6,6.2
TORONTO CITY CENTRE,3/13/2020 0:00,5.7,2.6,8.8
TORONTO CITY CENTRE,3/14/2020 0:00,2.4,0.6,4.1
TORONTO CITY CENTRE,3/15/2020 0:00,0.3,-1.8,2.4
TORONTO CITY CENTRE,3/16/2020 0:00,0.7,-1.1,2.5
TORONTO CITY CENTRE,3/17/2020 0:00,4.9,1.1,8.6
TORONTO CITY CENTRE,3/18/2020 0:00,0.9,-2,3.7
TORONTO CITY CENTRE,3/19/2020 0:00,4.3,2.8,5.8
TORONTO CITY CENTRE,3/20/2020 0:00,5.7,-3.3,14.7
TORONTO CITY CENTRE,3/21/2020 0:00,-4.1,-7.2,-1
TORONTO CITY CENTRE,3/22/2020 0:00,-0.9,-4.2,2.5
TORONTO CITY CENTRE,3/23/2020 0:00,2.2,0.3,4
TORONTO CITY CENTRE,3/24/2020 0:00,3.4,1.7,5
TORONTO CITY CENTRE,3/25/2020 0:00,3.9,2,5.8
TORONTO CITY CENTRE,3/26/2020 0:00,7.4,1.9,12.9
TORONTO CITY CENTRE,3/27/2020 0:00,4.9,2.9,6.8
TORONTO CITY CENTRE,3/28/2020 0:00,4.7,3.3,6.1
TORONTO CITY CENTRE,3/29/2020 0:00,10.6,4.6,16.6
TORONTO CITY CENTRE,3/30/2020 0:00,7,5.6,8.4
TORONTO CITY CENTRE,3/31/2020 0:00,5.3,4.2,6.3
TORONTO CITY CENTRE,4/1/2020 0:00,6.2,3.6,8.7
TORONTO CITY CENTRE,4/2/2020 0:00,9.1,4,14.1
TORONTO CITY CENTRE,4/3/2020 0:00,7.5,3,11.9
TORONTO CITY CENTRE,4/4/2020 0:00,7.7,5.4,10
TORONTO CITY CENTRE,4/5/2020 0:00,7.6,3.7,11.4
TORONTO CITY CENTRE,4/6/2020 0:00,6.6,1,12.1
TORONTO CITY CENTRE,4/7/2020 0:00,7.7,3.9,11.5
TORONTO CITY CENTRE,4/8/2020 0:00,10.2,5.8,14.6
TORONTO CITY CENTRE,4/9/2020 0:00,6,2.4,9.6
TORONTO CITY CENTRE,4/10/2020 0:00,4.6,1.5,7.6
TORONTO CITY CENTRE,4/11/2020 0:00,4.5,0.3,8.6
TORONTO CITY CENTRE,4/12/2020 0:00,7.2,3.5,10.8
TORONTO CITY CENTRE,4/13/2020 0:00,8.6,3.5,13.7
TORONTO CITY CENTRE,4/14/2020 0:00,3.5,0.3,6.7
TORONTO CITY CENTRE,4/15/2020 0:00,2,-1.2,5.1
TORONTO CITY CENTRE,4/16/2020 0:00,1.6,-2,5.2
TORONTO CITY CENTRE,4/17/2020 0:00,2.7,-0.1,5.4
TORONTO CITY CENTRE,4/18/2020 0:00,3.6,-0.9,8
TORONTO CITY CENTRE,4/19/2020 0:00,5.9,0.8,10.9
TORONTO CITY CENTRE,4/20/2020 0:00,2.6,-0.2,5.3
