mail.yehqginxpksmejj.ru,cryptolocker,dga
maniacstore.com,n/a,legit
technicianapollonearbyroommate.ovh,zoreo,dga
frustfrei-lernen.de,n/a,legit
ltksnfzobtmvjveivwt.ru,goz,dga
admin.costumebuiltlookedpostage.rich,zoreo,dga
aovgvqtcgbna.ru,cryptolocker,dga
p3lxpxskmviwtfmml25az2pn.biz,newgoz,dga
ns1.ab-archive.com,n/a,legit
musicalnutritionrarelysampling.biz,zoreo,dga
truethemes.net,n/a,legit
mail.problemprovedmetallicsussex.ro,zoreo,dga
admin.frugallivingnw.com,n/a,legit
promosite.ru,n/a,legit
admin.bkywrdjffacmqmj.ru,cryptolocker,dga
admin.gmrmhxrcrnfsgu.ru,cryptolocker,dga
mcdonalds.co.il,n/a,legit
1000ideasdenegocios.com,n/a,legit
ns1.bienpublic.com,n/a,legit
maituan.com,n/a,legit
1yourfilehost.com,n/a,legit
www1.rakuten.tw,n/a,legit
speedwaymotors.com,n/a,legit
classesrelativelyreprintbeach.uno,zoreo,dga
tpbjkiiuvayb.ru,cryptolocker,dga
bankcomm.com.hk,n/a,legit
cinemacity.co.jp,n/a,legit
admin.bimmerpost.com,n/a,legit
milepoint.com,n/a,legit
capitalfairlyportable.hiv,zoreo,dga
ns1.1gbx9qo1h4m6kt7nqpruj0w0ma.biz,newgoz,dga
techdirt.com,n/a,legit
jvwralxqkxtvfyd.ru,cryptolocker,dga
www.fcqudgpmkqttv.ru,cryptolocker,dga
1mobile.com.ru,n/a,legit
webwiki.nl,n/a,legit
davidsbridal.co.uk,n/a,legit
m.888sport.com,n/a,legit
bbupsufrsklub.ru,cryptolocker,dga
m.globered.com,n/a,legit
ezqshutpukx41q1ent91go9ox2.com,newgoz,dga
parking.com,n/a,legit
tbaxqduhyitfx.ru,cryptolocker,dga
admin.totallynsfw.com,n/a,legit
ns1.shenesefid.com,n/a,legit
fundamentalreliancelatinoaccording.it,zoreo,dga
eurofootball.lt,n/a,legit
vgxcugpcwursakn.ru,cryptolocker,dga
www1.kfmtqdxmiugt.ru,cryptolocker,dga
vcovrusjvstwcyyhmrpmduijd.ru,goz,dga
admin.xbajgifqpnqot.ru,cryptolocker,dga
lifehacker.com.au,n/a,legit
www1.syndromesyndicationtitledsupplemental.sy,zoreo,dga
wiycluekwjmtx.ru,cryptolocker,dga
mufalwjrywgq.ru,cryptolocker,dga
www.taxheaven.gr,n/a,legit
