id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
66296,France,"Putting alcohol with grape juice has a long tradition right across France. It doesn't make it any less bizarre. The problem is the alcohol doesn't blend with the grape juice, with two elements sitting alongside each other. This wine, with its sweet fruit flavor of marmalade that is cut by a strong brandy spirit sharpness, is for those who like strange drinks. Enjoy as a long drink and as an aperitif.",Macvin du Jura,87,56.0,France Other,Côtes du Jura,,Roger Voss,@vossroger,Domaine de Savagny NV Macvin du Jura White (Côtes du Jura),White Blend,Domaine de Savagny
72450,Portugal,Wood aging (hence the extra year before release) gives this wine richness and a smooth texture. It does take away some freshness but the ripe red fruits give a rounded character that puts the wine firmly in the food-friendly category.,,87,19.0,Dão,,,Roger Voss,@vossroger,Quinta do Perdigão 2015 Rosé (Dão),Rosé,Quinta do Perdigão
90314,Argentina,"Floral berry and plum aromas are touched up by notes of thyme and cardamom. Fresh grippy acidity keeps this lively, while flavors of berry and plum are spicy and suggestive of tomato sauce. Saucy, herbal flavors rise up on a high-acid finish.",Catena,88,20.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Catena Zapata 2013 Catena Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Bodega Catena Zapata
56505,US,"A blend of 90% Barbera and 10% Viognier made into a white wine, this bottling is mired in candy apple and white grapy flavors. It's round and otherwise simple.",White Barbera,83,14.0,California,Shenandoah Valley (CA),Sierra Foothills,Virginie Boone,@vboone,Villa Toscano 2012 White Barbera Barbera (Shenandoah Valley (CA)),Barbera,Villa Toscano
129826,Italy,"Barolo Cantina Tre Serre is a taut and well defined wine with earthy tones and some burmtt aromas of toasted bread or almond at the back of forest berry and root beer-like aromas. There's a long, silky feel in the mouth that underlines the wine's overall finesse.",Cantina Tre Serre,88,50.0,Piedmont,Barolo,,,,Vinchio-Vaglio Serra 2006 Cantina Tre Serre  (Barolo),Nebbiolo,Vinchio-Vaglio Serra
39099,France,"A lovely fresh blast of citrus foliage rises from the glass. The palate carries the same fragrant freshness but holds warmth and strength at its core, despite the dry taut body. This is the sunshine and the richness of 2015 captured with a light touch. The finish is dry and refreshing.",Vignoble d'E,91,30.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Ostertag 2015 Vignoble d'E Riesling (Alsace),Riesling,Domaine Ostertag
105091,France,This wine from the Côte Chalonnaise is a lighter style of Chardonnay than Leflaive's rich Côte de Beaune wines. It's a delicious lightly toasty wine that has crisp acidity and a strong and refreshing dose of lemon juice. The wine is creamy at the end. It will be ready to drink from 2017.,Les Cloux Premier Cru,89,39.0,Burgundy,Rully,,Roger Voss,@vossroger,Olivier Leflaive 2014 Les Cloux Premier Cru  (Rully),Chardonnay,Olivier Leflaive
18030,US,"Shows a return to the form of Souverain's glory days. Beautiful and complex, with luscious flavors of blackberries, currants and dried herbs, wrapped into soft, smooth tannins. Really classy. Best now and through 2012.",Winemaker's Reserve,92,40.0,California,Alexander Valley,Sonoma,,,Souverain 2005 Winemaker's Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Souverain
119121,Germany,"Dusty tones of mineral, saffron and pollen seem earthy and rustic at first, but the palate of this sun-kissed Riesling is buoyant with concentrated yellow peach and tangerine flavors. It's straightforward in its juicy, fruity style, but a satisfying sip with a gentle price tag.",Piesporter Michelsberg,88,17.0,Mosel,,,Anna Lee C. Iijima,,Maringer-Reif 2013 Piesporter Michelsberg Riesling (Mosel),Riesling,Maringer-Reif
105441,US,"Good cherry, cocoa and sweet oak flavors in this dry wine. It's too soft, lacking structure, but is a pretty good buy for the price.",,84,12.0,California,California,California Other,,,Pennywise 2009 Merlot (California),Merlot,Pennywise
60428,Chile,"Herbal plum aromas are oaky and lactic on the nose. This Pinot is juicy on the palate, with cool-climate acidity. The flavor profile includes distant red fruit notes and a heavy topping of oak resin on the finish.",Tectonia,86,20.0,Bío Bío Valley,,,Michael Schachner,@wineschach,Bodega Volcanes de Chile 2011 Tectonia Pinot Noir (Bío Bío Valley),Pinot Noir,Bodega Volcanes de Chile
52476,Italy,"From the new estate run by Giovanni and Paolo Bulgari (of fashion and jewelry fame), this pure expression of Sangiovese shows very interesting aromas of bright red cherry, perfumed blue flower and a touch of sweet spice. The wine is focused, compact and crisp on the close.",Sotirio,90,40.0,Tuscany,Toscana,,,,PoderNuovo a Palazzone 2009 Sotirio Sangiovese (Toscana),Sangiovese,PoderNuovo a Palazzone
103141,Australia,"A step up from the other Syrahs in the 2008 Clarendon Hills' lineup, the Astralis is firmly tannic and should be long-lived. The masses of rich black-cherry fruit are amply framed by cedary oak without ever being overwhelmed, with the fruit persisting on the long finish. Try around 2018.",Astralis,94,225.0,South Australia,Clarendon,,Joe Czerwinski,@JoeCz,Clarendon Hills 2008 Astralis Syrah (Clarendon),Syrah,Clarendon Hills
86296,US,"This Zin is a little too soft and simple for true classicism, but you have to consider the price. With its pleasant berry and spice flavors and rich, smooth tannins, it's a nice value.",,84,10.0,California,Mendocino County,,,,Castle Rock 2006 Zinfandel (Mendocino County),Zinfandel,Castle Rock
53713,Italy,"Balsamic aromas of camphor, toasted oak and oak-driven spice take center stage in this wine. On the tightly wound palate, taut tannins enwrap Marasca cherry, cranberry, white pepper and clove flavors. It's balanced with bright acidity.",Meruzzano,89,40.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Orlando Abrigo 2014 Meruzzano  (Barbaresco),Nebbiolo,Orlando Abrigo
62999,US,"What a nice wine to drink with almost anything that wants a white wine, from chicken or pork to potstickers. It's bone dry and brisk in Edna Valley acidity, with flavors of lemons, limes, green apples, minerals and white flowers.",Blanco,88,20.0,California,Edna Valley,Central Coast,,,Trenza 2009 Blanco White (Edna Valley),White Blend,Trenza
